year, locality, num_males, num_females
2009,Plateau,1033,90
2010,Plateau,1024,54
2011,Plateau,1022,60
2012,Plateau,1011,64
2013,Plateau,1026,72
2014,Plateau,1018,69
2015,Plateau,1018,87
2016,Plateau,1008,77
2017,Plateau,854,61
2018,Plateau,936,70
2019,Plateau,927,70
2020,Plateau,899,71
2021,Plateau,861,64
2022,Plateau,834,54
2023,Plateau,839,71
2011,Konjsko,228,245
2012,Konjsko,273,291
2013,Konjsko,259,667
2014,Konjsko,268,215
2015,Konjsko,234,270
2016,Konjsko,226,394
2017,Konjsko,249,398
2018,Konjsko,190,422
2019,Konjsko,211,345
2020,Konjsko,412,187
2021,Konjsko,283,373
2022,Konjsko,156,500
2023,Konjsko,260,349
2009,Beach,55,23
2010,Beach,56,11
2011,Beach,55,15
2012,Beach,54,12
2013,Beach,69,17
2014,Beach,58,22
2015,Beach,86,20
2016,Beach,71,22
2017,Beach,46,14
2018,Beach,59,23
2019,Beach,55,24
2020,Beach,53,25
2021,Beach,48,21
2022,Beach,44,15
2023,Beach,47,17
